variant,Year,Trt_code,Treatment,Date,dap,gdd_cum,z_root_m,canopy_cover_frac,biomass_t_ha,dry_yield_t_ha,Es_mm,Tr_mm,DeepPerc_mm,IrrDay_mm,SWD_AquaCrop_mm,Canopy_obs
default_maize,2012,1,100/100,2012-06-14,46.0,396.77600000000007,0.9597896923770569,0.856326337084234,448.1064802986042,0.0,0.5995557356440308,7.322668894623462,0.0,35.4,26.425793434592613,16.516525
default_maize,2012,1,100/100,2012-06-22,54.0,501.466,1.0649501428326793,0.926402618431042,721.3451121264973,0.0,0.1860970414742766,6.534022420922456,0.0,0.0,52.39277526510745,45.4046
default_maize,2012,1,100/100,2012-06-29,61.0,605.171,1.1538616509788808,0.9539994441694999,967.4927208018087,0.0,0.06132356474101514,6.541844751931454,0.0,40.1,24.778056624927316,81.624025
default_maize,2012,1,100/100,2012-07-06,68.0,709.0210000000001,1.2403244478215725,0.9580844359863769,1212.3846923515218,0.0,0.04392772168313323,6.52634633977945,0.0,0.0,24.207317210353466,68.6314
default_maize,2012,1,100/100,2012-07-13,75.0,803.6610000000002,1.3246604042146568,0.9588257236290677,1451.9190581792147,0.38688100616513904,0.03998375988489848,6.3019202324158075,0.0,48.9,-13.305912286413282,76.79984999999999
default_maize,2012,1,100/100,2012-07-20,82.0,907.1160000000002,1.407122011552943,0.9588257236290677,1687.57186368973,1.0133343588706265,0.04469324917773108,6.9029167990000895,0.8209474070673968,0.0,12.614263289830488,85.45467500000001
default_maize,2012,1,100/100,2012-07-26,88.0,998.3410000000001,1.4764664037856814,0.9588257236290677,1885.754738562525,2.086313011546961,0.03771216870837191,5.722503487309869,0.20236204814233916,0.0,16.28722427442762,89.0415
default_maize,2012,1,100/100,2012-08-06,99.0,1154.6860000000001,1.6007507235000542,0.9588257236290677,2239.9671802719727,4.7537867657660104,0.037811483037365486,5.549753048038765,0.0019172882630654783,30.3,-4.67794734485558,83.912375
default_maize,2012,1,100/100,2012-08-09,102.0,1196.1710000000003,1.6340632040377903,0.9588257236290677,2334.5215958536487,5.6012684886011,0.04020033830326365,5.84591554530955,0.15229389057247453,0.0,12.48655605477551,85.4935
default_maize,2012,1,100/100,2012-08-16,109.0,1284.6860000000004,1.7000000000000008,0.9458475520671812,2545.28707037341,7.752449272862367,0.057460113062321315,2.8732636571332986,7.631378189446729,0.0,0.6160953295748038,78.092325
default_maize,2012,1,100/100,2012-08-21,114.0,1336.8930000000003,1.7000000000000008,0.8958822402606674,2677.751538393229,9.392426496294577,0.2358713299006373,3.9296771149063137,0.00027685107717611543,30.3,-10.68600995194407,80.67972499999999
default_maize,2012,1,100/100,2012-08-23,116.0,1363.7430000000002,1.7000000000000008,0.8658646567237666,2729.604477628289,10.078489030927003,0.290279894400015,3.2885717500957288,2.0713600444462568,0.0,6.694586688064899,76.179375
default_maize,2012,1,100/100,2012-08-27,120.0,1412.7830000000004,1.7000000000000008,0.7792515349074689,2820.238529994375,11.454986576601273,0.0758263087078924,2.8441351146189255,0.00027886849622412206,0.0,19.954341839595305,76.365075
default_maize,2012,1,100/100,2012-08-30,123.0,1455.3730000000005,1.7000000000000008,0.6808699345438762,2875.362713402963,12.4755456997004,0.9851074708562946,3.072019245509703,2.2891324845305387,0.0,6.82543984060782,75.83195
default_maize,2012,1,100/100,2012-09-05,129.0,1534.5230000000001,1.7000000000000008,0.338085204817724,2935.683837579431,14.09288802591721,1.6799168978341892,0.7652439659914101,2.429429401687829e-06,45.4,-22.341371722736145,57.41095
default_maize,2012,2,100/50,2012-06-14,46.0,396.77600000000007,0.9597896923770569,0.8596600102308908,448.5962323939304,0.0,0.5810603562610744,7.340203377648836,0.0,24.3,32.51749833239993,16.9752
default_maize,2012,2,100/50,2012-06-22,54.0,501.466,1.0649501428326793,0.9257348069107171,721.9575098279682,0.0,0.1891208620276138,6.531155697884965,0.0,0.0,58.9254424001972,45.52775
default_maize,2012,2,100/50,2012-06-29,61.0,605.171,1.1538616509788808,0.9539994441694999,967.9534066493535,0.0,0.06132356474101514,6.541844751931454,0.0,40.2,31.19364446597479,85.45252499999998
default_maize,2012,2,100/50,2012-07-06,68.0,709.0210000000001,1.2403244478215725,0.9580844359863769,1212.8453781990665,0.0,0.04392772168313323,6.52634633977945,0.0,0.0,30.422905051400935,73.0303
default_maize,2012,2,100/50,2012-07-13,75.0,803.6610000000002,1.3246604042146568,0.9588257236290677,1452.3797440267595,0.3870476331187626,0.03998375988489848,6.3019202324158075,0.0,55.1,-13.290324445365814,81.046375
default_maize,2012,2,100/50,2012-07-20,82.0,907.1160000000002,1.407122011552943,0.9588257236290677,1688.0325495372747,1.0137258919756749,0.04469324917773108,6.9029167990000895,1.0743643192292773,0.0,12.541425962314516,86.470725
default_maize,2012,2,100/50,2012-07-26,88.0,998.3410000000001,1.4764664037856814,0.9588257236290677,1886.2154244100698,2.0870592610409204,0.03771216870837191,5.722503487309869,0.20322313274282144,0.0,16.28792003610018,88.98603333333334
default_maize,2012,2,100/50,2012-08-06,99.0,1154.6860000000001,1.6007507235000542,0.9588257236290677,2240.4278661195176,4.755303472242481,0.037811483037365486,5.549753048038765,0.0020429088292470946,30.4,-4.7619764936018205,85.022525
default_maize,2012,2,100/50,2012-08-09,102.0,1196.1710000000003,1.6340632040377903,0.9588257236290677,2334.9822817011936,5.603008921963146,0.04020033830326365,5.84591554530955,0.1538953974708039,0.0,12.486101010477245,86.52024999999998
default_maize,2012,2,100/50,2012-08-16,109.0,1284.6860000000004,1.7000000000000008,0.9458475520671812,2545.747756220955,7.754731429367499,0.057460113062321315,2.8732636571332986,8.857076547231926e-09,0.0,30.29551722851929,75.59515
default_maize,2012,2,100/50,2012-08-21,114.0,1336.8930000000003,1.7000000000000008,0.8958822402606674,2678.212224240774,9.395107321809782,0.2358713299006373,3.9296771149063137,0.0,15.3,32.03380617142971,69.09275
default_maize,2012,2,100/50,2012-08-23,116.0,1363.7430000000002,1.7000000000000008,0.8658646567237666,2730.0651634758337,10.08133273304675,0.290279894400015,3.2885717500957288,0.0,0.0,39.39235314672143,71.261825
default_maize,2012,2,100/50,2012-08-27,120.0,1412.7830000000004,1.7000000000000008,0.7792515349074689,2820.69921584192,11.45815652760549,0.01648178056225722,2.8441351146189255,0.0,0.0,52.2302640318892,62.5383
default_maize,2012,2,100/50,2012-08-30,123.0,1455.3730000000005,1.7000000000000008,0.6808699345438762,2875.823399250508,12.478958998097873,0.9851074708562946,3.072019245509703,0.0,0.0,46.666003930091826,50.683099999999996
default_maize,2012,2,100/50,2012-09-05,129.0,1534.5230000000001,1.7000000000000008,0.338085204817724,2936.144523426976,14.096697427373483,0.034664181418851386,0.7652439659914101,0.0,0.0,60.93644566944363,18.095575
default_maize,2012,3,80/80,2012-06-14,46.0,396.77600000000007,0.9597896923770569,0.8571350081358798,448.3623869724489,0.0,0.5950653135416211,7.326926024390912,0.0,24.2,36.82000616536472,13.944175
default_maize,2012,3,80/80,2012-06-22,54.0,501.466,1.0649501428326793,0.9234403198283048,721.2662071427542,0.0,0.19951824653170233,6.521298492021795,0.0,0.0,62.1954920305589,38.57495
