Year,sections,layer,top_m,bottom_m,n,source,sand,clay,OM,TAW,thWP,thFC,thS,Ksat
2012,AB,1,0.0,0.3,2,section,71.25,18.25,1.85,0.07,0.17039219640376202,0.24039219640376203,0.419,580.1
2012,AB,2,0.3,0.6,3,section,76.33333333333333,17.166666666666668,0.4666666666666666,0.06,0.15347237757828244,0.21347237757828244,0.391,626.5
2012,AB,3,0.6,0.8999999999999999,3,section,73.33333333333333,19.166666666666668,1.0,0.06666666666666668,0.1312127366883812,0.1978794033550479,0.4,506.6
2012,AB,4,0.8999999999999999,1.2,1,section,90.0,5.5,1.0,0.04,0.15523186033959516,0.19523186033959516,0.428,2435.9
2012,AB,5,1.2,1.5,3,section,81.33333333333333,8.5,1.0,0.05666666666666667,0.1455442224169469,0.20221088908361357,0.416,1590.4
2012,AB,6,1.5,1.8,1,all_LIRF,90.0,8.0,1.0,0.039999999999999994,0.1797581405389122,0.2197581405389122,0.421,1932.1
2013,CD,1,0.0,0.3,2,section,67.75,18.25,2.0999999999999996,0.07999999999999999,0.1873263888888889,0.2673263888888889,0.426,568.1
2013,CD,2,0.3,0.6,4,section,68.875,19.0,0.95,0.0775,0.1641875,0.2416875,0.402,476.2
2013,CD,3,0.6,0.8999999999999999,4,section,65.0,24.25,1.0,0.08043277214258232,0.12362972785741766,0.20406249999999998,0.403,258.6
2013,CD,4,0.8999999999999999,1.2,2,section,71.75,21.0,1.0,0.07500000000000001,0.10011458333333334,0.17511458333333335,0.4,407.7
2013,CD,5,1.2,1.5,2,section,81.25,14.25,1.0,0.05,0.11912500000000002,0.16912500000000003,0.405,938.8
2013,CD,6,1.5,1.8,1,section,90.0,8.0,1.0,0.039999999999999994,0.13871041666666667,0.17871041666666665,0.421,1932.1
