Year,sections,layer,top_m,bottom_m,n_samples,source,sand_pct,clay_pct,OM_pct,thWP,thFC,thS,Ksat_mm_d
2012,AB,1,0.0,0.3,2,section,71.25,18.25,1.85,0.11499999999999999,0.185,0.419,580.1
2012,AB,2,0.3,0.6,3,section,76.33333333333333,17.166666666666668,0.4666666666666666,0.10666666666666667,0.16666666666666666,0.391,626.5
2012,AB,3,0.6,0.8999999999999999,3,section,73.33333333333333,19.166666666666668,1.0,0.12,0.18666666666666668,0.4,506.6
2012,AB,4,0.8999999999999999,1.2,1,section,90.0,5.5,1.0,0.04,0.08,0.428,2435.9
2012,AB,5,1.2,1.5,3,section,81.33333333333333,8.5,1.0,0.05333333333333334,0.11,0.416,1590.4
2012,AB,6,1.5,1.8,1,all_LIRF,90.0,8.0,1.0,0.05,0.09,0.421,1932.1
2013,CD,1,0.0,0.3,2,section,67.75,18.25,2.0999999999999996,0.11499999999999999,0.195,0.426,568.1
2013,CD,2,0.3,0.6,4,section,68.875,19.0,0.95,0.12,0.19749999999999998,0.402,476.2
2013,CD,3,0.6,0.8999999999999999,4,section,65.0,24.25,1.0,0.1467096184,0.22714239054258228,0.403,258.6
2013,CD,4,0.8999999999999999,1.2,2,section,71.75,21.0,1.0,0.13,0.20500000000000002,0.4,407.7
2013,CD,5,1.2,1.5,2,section,81.25,14.25,1.0,0.09,0.14,0.405,938.8
2013,CD,6,1.5,1.8,1,section,90.0,8.0,1.0,0.05,0.09,0.421,1932.1
