config,Year,Trt_code,Yield_AC,ET_AC
z060_i85,2012,1,6.428330926869963,513.5918562032064
z060_i85,2012,2,6.213576798486975,486.27963967093604
z060_i85,2012,3,6.431767250793487,513.7832371301888
z060_i85,2012,4,6.446080719566183,497.0911583574109
z060_i85,2012,5,6.271744309767853,486.61297619380014
z060_i85,2012,6,6.095243739647141,481.7780885156042
z060_i85,2012,7,5.924382037397439,506.5022128899885
z060_i85,2012,8,5.855243791983954,491.3120453497386
z060_i85,2012,9,5.616875928126029,483.7504895191885
z060_i85,2012,10,5.461852470558915,472.9340332966345
z060_i85,2012,11,3.4831227599026855,440.8348773038586
z060_i85,2012,12,2.1949241349567896,388.5124960763684
z060_i85,2013,1,6.832612186837887,482.4707906890242
z060_i85,2013,2,6.675391517340745,470.71551256289973
z060_i85,2013,3,5.59438556021568,467.45561028203406
z060_i85,2013,4,5.590035010457575,464.38282557530215
z060_i85,2013,5,5.829828188868249,458.1189500107594
z060_i85,2013,6,5.47332162291308,435.1433087918963
z060_i85,2013,7,4.062594867834074,449.2496724645913
z060_i85,2013,8,5.622998618350963,458.149881714789
z060_i85,2013,9,5.634404549131369,449.59967184954996
z060_i85,2013,10,5.514694508090089,429.8280332428472
z060_i85,2013,11,2.5466603416783107,394.4635640487565
z060_i85,2013,12,4.303440132423979,388.65703062301185
z060_i100,2012,1,7.483599836929217,527.6600552044013
z060_i100,2012,2,7.422295385952021,504.63727089888846
z060_i100,2012,3,7.5978305073828745,528.5711783951522
z060_i100,2012,4,7.638579219201256,514.6249471553263
z060_i100,2012,5,7.431751988277367,505.3044044147015
z060_i100,2012,6,7.15887250183915,499.14691922856707
z060_i100,2012,7,7.3309459495200855,524.5103494191729
z060_i100,2012,8,7.315246796539809,511.03273158414237
z060_i100,2012,9,7.205623399361802,505.4156531341818
z060_i100,2012,10,6.950450797791388,494.7598126008478
z060_i100,2012,11,5.544669731620346,471.7738347620697
z060_i100,2012,12,3.9889410669942587,421.54447880416274
z060_i100,2013,1,6.824154775048483,485.5984763362509
z060_i100,2013,2,6.667117153689742,473.85048881905834
z060_i100,2013,3,5.606180631086785,470.50518290501424
z060_i100,2013,4,5.475375517610537,466.93669960491127
z060_i100,2013,5,5.914759656226511,461.9983056447965
z060_i100,2013,6,5.551578782010174,438.83009331684406
z060_i100,2013,7,4.366135526051164,455.07927327182006
z060_i100,2013,8,5.9456891898984905,463.4879839614605
z060_i100,2013,9,5.850578938719753,454.52892585218484
z060_i100,2013,10,5.723482714893149,434.9105054792079
z060_i100,2013,11,2.891615714923506,400.961461603883
z060_i100,2013,12,4.3062214840960165,391.38299318959685
z105_i85,2012,1,11.252328868171452,567.3405394890356
z105_i85,2012,2,11.25526015643816,558.4275309727402
z105_i85,2012,3,11.245971854271284,567.263489546225
z105_i85,2012,4,11.252826131018969,558.9884542976882
z105_i85,2012,5,11.246453817875828,558.4514735688455
z105_i85,2012,6,11.227109477747069,557.718172683025
z105_i85,2012,7,11.116488172066386,563.6989734698554
z105_i85,2012,8,11.109708443065434,555.1205960545948
z105_i85,2012,9,11.075169129192476,554.4088982800552
z105_i85,2012,10,11.07325799120132,553.771252562449
z105_i85,2012,11,10.427650668622649,535.7486248279347
z105_i85,2012,12,9.352793016682101,506.70141642149844
z105_i85,2013,1,11.314723441604624,494.5506186982219
z105_i85,2013,2,11.317551838438797,494.25410708583627
z105_i85,2013,3,11.151264815501666,488.12778621483324
z105_i85,2013,4,11.15067631136712,487.94872462735293
z105_i85,2013,5,11.201360500674618,488.94840558010924
z105_i85,2013,6,11.193709707105336,486.7580621260967
z105_i85,2013,7,10.958336014189829,485.28998778737196
z105_i85,2013,8,11.142834877936435,490.23388227649093
z105_i85,2013,9,11.151943902755125,489.68630224101327
z105_i85,2013,10,11.17977686579664,487.8714862135221
z105_i85,2013,11,10.136009783413773,466.95935057051247
z105_i85,2013,12,9.97840588580776,458.53425449104566
z105_i100,2012,1,12.914278830517159,598.0543775423973
z105_i100,2012,2,12.7475126472743,588.3764207561771
z105_i100,2012,3,12.788867931989136,598.8177628118251
z105_i100,2012,4,12.792929842871528,590.8947268124889
z105_i100,2012,5,12.776029947452106,590.0894103976791
z105_i100,2012,6,12.765400049678785,589.3847308161808
z105_i100,2012,7,12.455747222228538,587.8259014584611
z105_i100,2012,8,12.446332666190882,578.9825541131709
z105_i100,2012,9,12.392743372512502,577.1463306042638
z105_i100,2012,10,12.38949066745293,577.0104545616891
z105_i100,2012,11,11.454957666324859,547.0610409559984
z105_i100,2012,12,10.484905519774925,515.1524112314446
z105_i100,2013,1,12.16373806765793,511.4945907120231
z105_i100,2013,2,12.164734923028854,511.5051772365874
z105_i100,2013,3,12.020024541593408,508.1711851274495
z105_i100,2013,4,12.019035256698109,508.0254390904324
z105_i100,2013,5,12.050278312177108,509.16231436285364
z105_i100,2013,6,12.047163355766191,507.35226438739664
z105_i100,2013,7,11.831623637219614,505.4072564924534
z105_i100,2013,8,11.934805943184594,509.3866646569867
z105_i100,2013,9,11.927803778506322,508.97536808453924
z105_i100,2013,10,11.96109791312244,507.60406389751984
z105_i100,2013,11,10.852900244762614,479.8239226431713
z105_i100,2013,12,10.09215219542192,465.0545927909935
